name,kind,description,date,deadline,venue,city,state,source_name,source_url,agency,attendance,categories,contact_name,contact_email,contact_role
AUSA Annual Meeting & Exposition 2026,event,"Largest land-power exposition in North America; 800+ exhibits and 44,000+ attendees at the Walter E. Washington Convention Center, Oct 12-14 2026. Verified via meetings.ausa.org.",2026-10-12,,Walter E. Washington Convention Center,Washington,DC,AUSA Annual Meeting,https://meetings.ausa.org/annual/2026/index.cfm,Association of the United States Army,44000,"staging,lighting,furniture,structures",,,
Fiesta DC 2026,event,"#1 Latino festival & parade in the US since 1971; two-day street festival in downtown DC, Sept 26-27 2026. Verified via fiestadc.org.",2026-09-26,,Pennsylvania Avenue NW,Washington,DC,Fiesta DC,https://fiestadc.org/,Fiesta DC,,"tent,staging,restrooms,structures",,,
H Street Festival 2026,event,"Free one-day street festival with 300+ vendors and multiple stages on H Street NE, Sept 19 2026; ~150,000-160,000 attendance (DC News Now/Washington Informer, 2025). Verified via hstreet.org.",2026-09-19,,H Street NE (3rd-15th),Washington,DC,H Street Festival,https://hstreet.org/event/2026-h-street-festival/,H Street Main Street,150000,"tent,staging,restrooms,structures",,,
National Cherry Blossom Festival 2027,event,"115th festival Mar 20-Apr 11 2027; weeks of outdoor programming (parade, Petalpalooza) across the National Mall and Tidal Basin. Verified via nationalcherryblossomfestival.org.",2027-03-20,,National Mall / Tidal Basin,Washington,DC,National Cherry Blossom Festival,https://nationalcherryblossomfestival.org/,National Cherry Blossom Festival,,"tent,staging,restrooms,structures",,,
Capital Pride Festival,event,"Annual mid-June Pride festival and parade on Pennsylvania Ave NW; large multi-stage street festival drawing ~500,000+ (Washington Blade). Verified via capitalpride.org.",,,Pennsylvania Avenue NW,Washington,DC,Capital Pride Alliance,https://www.capitalpride.org/event/festival/,Capital Pride Alliance,500000,"tent,staging,restrooms,structures",,,
DC Jazz Festival,event,"Multi-day jazz festival across ~20 DC venues including outdoor stages at The Wharf (late Aug/early Sept). Verified via dcjazzfest.org.",,,The Wharf & multiple venues,Washington,DC,DC Jazz Festival,https://www.dcjazzfest.org/,DC Jazz Festival,,"staging,tent,lighting",,,
National Book Festival,event,"Library of Congress' annual book festival at the Walter E. Washington Convention Center (late Aug); author stages and exhibit areas. Verified via loc.gov/events.",,,Walter E. Washington Convention Center,Washington,DC,Library of Congress,https://www.loc.gov/events/,Library of Congress,,"staging,tables,chairs",,,
Taste of Bethesda 2026,event,"34th annual food & music festival in Bethesda's Woodmont Triangle; four stages and dozens of restaurants, Oct 3 2026. Verified via bethesda.org.",2026-10-03,,Woodmont Triangle,Bethesda,MD,Bethesda Urban Partnership,https://www.bethesda.org/taste-of-bethesda/,Bethesda Urban Partnership,,"tent,tables,staging",,,
Gaithersburg Book Festival,event,"Free annual book fair at Bohrer Park (mid-May); author tents, stages and kids' area. Verified via gaithersburgbookfestival.org.",,,Bohrer Park,Gaithersburg,MD,City of Gaithersburg,https://www.gaithersburgbookfestival.org/,City of Gaithersburg,,"tent,tables,chairs,staging",,,
Rockville Hometown Holidays,event,"Memorial Day weekend festival in Rockville Town Center; two music stages, artisan area and food vendors. Verified via rockvillemd.gov.",,,Rockville Town Center,Rockville,MD,City of Rockville,https://www.rockvillemd.gov/services/hometown-holidays/,City of Rockville,,"tent,staging,tables",,,
